Stnno,Year,Month,Day,Rainfall,Day mean wind,Solar Radioation ( MJm-2)
48650,2008,1,1,0.0,2.9,16.70
48650,2008,1,2,0.0,2.5,15.48
48650,2008,1,3,0.0,2.6,9.82
48650,2008,1,4,14.4,1.9,14.86
48650,2008,1,5,34.4,1.7,11.00
48650,2008,1,6,32.4,1.6,14.44
48650,2008,1,7,10.2,1.2,10.87
48650,2008,1,8,10.8,1.1,8.77
48650,2008,1,9,9.2,1.2,10.02
48650,2008,1,10,0.0,1.3,20.65
48650,2008,1,11,19.6,1.4,14.70
48650,2008,1,12,4.8,1.5,18.37
48650,2008,1,13,0.8,1.0,8.99
48650,2008,1,14,1.6,1.5,13.92
48650,2008,1,15,0.0,1.4,18.26
48650,2008,1,16,0.0,1.6,17.56
48650,2008,1,17,0.0,1.9,17.49
48650,2008,1,18,0.0,2.2,6.49
48650,2008,1,19,0.0,1.9,16.24
48650,2008,1,20,0.0,1.7,16.60
48650,2008,1,21,0.2,1.9,18.85
48650,2008,1,22,0.0,2.9,22.44
48650,2008,1,23,0.0,2.8,19.66
48650,2008,1,24,0.0,1.8,18.08
48650,2008,1,25,0.4,2.4,20.47
48650,2008,1,26,0.0,2.7,22.23
48650,2008,1,27,33.0,3.6,20.62
48650,2008,1,28,3.8,2.5,17.06
48650,2008,1,29,17.2,2.1,13.92
48650,2008,1,30,3.8,1.3,19.89
48650,2008,1,31,0.0,1.8,14.72
48650,2008,2,1,0.4,1.5,9.46
48650,2008,2,2,5.4,1.7,11.53
48650,2008,2,3,0.8,1.7,17.55
48650,2008,2,4,0.0,2.7,8.28
48650,2008,2,5,0.0,2.0,17.38
48650,2008,2,6,0.0,2.0,22.56
48650,2008,2,7,0.0,3.1,23.38
48650,2008,2,8,0.0,2.0,15.35
48650,2008,2,9,0.0,2.4,19.75
48650,2008,2,10,0.0,2.0,20.23
48650,2008,2,11,0.0,2.5,15.99
48650,2008,2,12,0.0,2.3,18.20
48650,2008,2,13,0.0,2.1,18.41
48650,2008,2,14,0.0,2.8,17.01
48650,2008,2,15,0.0,2.8,16.12
48650,2008,2,16,0.0,1.9,17.53
48650,2008,2,17,2.2,2.0,18.04
48650,2008,2,18,0.0,3.9,19.86
48650,2008,2,19,0.0,2.2,22.39
48650,2008,2,20,0.0,2.7,15.69
48650,2008,2,21,0.0,1.7,-1.11
48650,2008,2,22,0.0,1.5,15.84
48650,2008,2,23,0.0,1.3,17.60
48650,2008,2,24,0.0,1.4,17.46
48650,2008,2,25,5.0,1.3,-1.11
48650,2008,2,26,2.0,2.0,11.49
48650,2008,2,27,15.0,1.5,16.59
48650,2008,2,28,65.8,1.7,7.25
48650,2008,2,29,0.0,1.2,12.71
48650,2008,3,1,0.6,1.8,10.73
48650,2008,3,2,0.0,2.3,19.29
48650,2008,3,3,30.2,1.5,10.07
48650,2008,3,4,0.0,1.4,12.20
48650,2008,3,5,0.0,2.4,16.15
48650,2008,3,6,0.0,1.7,9.97
48650,2008,3,7,8.8,1.5,10.59
48650,2008,3,8,27.4,1.8,14.15
48650,2008,3,9,0.0,3.1,18.75
48650,2008,3,10,5.6,1.6,13.67
48650,2008,3,11,34.2,1.5,14.59
48650,2008,3,12,6.2,1.7,9.94
48650,2008,3,13,0.0,2.4,13.30
48650,2008,3,14,11.0,1.6,17.47
48650,2008,3,15,0.0,2.2,14.39
48650,2008,3,16,0.0,2.3,22.27
48650,2008,3,17,20.6,2.2,22.12
48650,2008,3,18,1.4,1.6,16.99
48650,2008,3,19,5.0,1.6,8.88
48650,2008,3,20,4.6,1.2,16.43
48650,2008,3,21,15.2,1.5,16.36
48650,2008,3,22,11.4,1.7,11.68
48650,2008,3,23,34.8,1.6,20.27
48650,2008,3,24,14.4,1.8,17.36
48650,2008,3,25,0.2,1.9,16.62
48650,2008,3,26,0.0,1.8,11.95
48650,2008,3,27,0.0,1.3,25.25
48650,2008,3,28,0.2,1.7,17.40
48650,2008,3,29,0.0,1.3,16.48
48650,2008,3,30,10.8,1.8,-1.11
48650,2008,3,31,0.0,1.6,21.87
48650,2008,4,1,0.0,1.6,14.55
48650,2008,4,2,0.2,2.2,21.35
48650,2008,4,3,14.6,1.5,12.01
48650,2008,4,4,2.2,1.1,13.68
48650,2008,4,5,0.8,1.6,20.51
48650,2008,4,6,0.0,1.4,16.18
48650,2008,4,7,1.2,1.0,17.89
48650,2008,4,8,9.0,1.5,10.45
48650,2008,4,9,0.2,1.4,21.92
48650,2008,4,10,26.2,1.8,11.21
48650,2008,4,11,0.6,1.3,14.58
48650,2008,4,12,3.4,1.5,15.88
48650,2008,4,13,0.4,2.0,19.06
48650,2008,4,14,0.6,1.7,15.19
48650,2008,4,15,34.0,1.4,21.56
48650,2008,4,16,15.0,1.7,14.98
48650,2008,4,17,0.6,1.4,18.03
48650,2008,4,18,0.8,1.9,17.34
48650,2008,4,19,3.2,1.6,18.75
48650,2008,4,20,0.0,1.7,18.66
48650,2008,4,21,1.6,1.4,17.48
48650,2008,4,22,50.0,2.2,15.34
48650,2008,4,23,4.0,1.9,17.76
48650,2008,4,24,9.6,1.5,9.85
48650,2008,4,25,0.0,1.3,16.03
48650,2008,4,26,0.0,1.6,23.75
48650,2008,4,27,0.0,1.6,18.55
48650,2008,4,28,0.0,1.5,11.68
48650,2008,4,29,8.2,1.4,19.17
48650,2008,4,30,0.0,1.4,18.75
48650,2008,5,1,0.0,1.5,18.47
48650,2008,5,2,0.0,1.4,14.77
48650,2008,5,3,0.0,1.6,16.55
48650,2008,5,4,0.0,1.6,21.39
48650,2008,5,5,0.0,1.5,17.73
48650,2008,5,6,4.8,1.3,13.63
48650,2008,5,7,0.0,1.5,16.60
48650,2008,5,8,0.0,1.2,12.74
48650,2008,5,9,2.6,1.1,16.12
48650,2008,5,10,0.0,1.3,22.51
48650,2008,5,11,0.0,1.1,14.98
48650,2008,5,12,0.0,1.4,18.38
48650,2008,5,13,0.0,1.5,20.94
48650,2008,5,14,0.0,1.7,17.49
48650,2008,5,15,0.0,1.5,19.08
48650,2008,5,16,0.0,1.8,20.52
48650,2008,5,17,0.0,1.4,19.10
48650,2008,5,18,69.0,1.5,7.09
48650,2008,5,19,0.0,1.9,17.37
48650,2008,5,20,0.0,1.4,17.74
48650,2008,5,21,0.0,1.6,15.05
48650,2008,5,22,0.0,1.7,16.51
48650,2008,5,23,0.0,1.8,18.31
48650,2008,5,24,0.0,1.4,15.63
48650,2008,5,25,0.0,1.4,12.36
48650,2008,5,26,0.0,1.3,14.75
48650,2008,5,27,1.6,2.2,17.86
48650,2008,5,28,0.0,2.0,18.20
